Question,Correct Answer,Option A,Option B,Option C,Option D
Which player has won the best FIFA men's player of the year 2021 award?,Robert Lewandowski,Robert Lewandowski,Lionel Messi,Cristiano Ronaldo,Karim Benzema
"Recently, Charanjit Singh, a former Indian player related to which sport has passed away at the age of 91?",Hockey,Hockey,Football,Cricket,Badminton
In which year was the Maharana Pratap Award for Athletics awarded to Jayveer Singh Shekhawat?,6/23/1905,2000,2001,2002,2003
Who among the following has been chosen by the BCCI as the title sponsor for the Indian Premier League (IPL) 2022 and 2023 seasons?,Tata Group,Amazon,Paytm,Vivo,Tata Group
Which two-time Olympic medalist from India has been appointed as a member of the Athletes Commission of the Badminton World Federation (BWF)?,PV Sindhu,Sanjana Santosh,Juhi Dewangan,PV Sindhu,Saina Nehwal
Indian archers won __________ medals in the competition to occupy the second position in the medal tally.,1/6/1900,4,5,6,7
The Rao Raja Hanut Singh Challenge Cup is related to which sport?,Polo,Polo,basketball,Argentina,Cricket
In which country is the famous football player Edson Arents de Nascimento (Black Pearl) related?,Brazil,Argentina,Belgium,Portugal,Brazil
Which cricket team won the title of IPL-2021?,Chennai Super Kings, Rajasthan Royals,Kolkata Knight Riders,Chennai Super Kings,Royal Challengers Bangalore
Which of the following tennis event is not related to Grand Slam?, Italian Open,French Open, Italian Open,Wimbledon,US Open
"In the modern version of cricket 'Supermax Cricket', how much time is fixed for each innings of 10 overs of both the teams?",45 minutes,40 minutes,45 minutes,50 minutes,60 minutes
Which is the national sport of the USA?,Baseball,Carfball,Volleyball,Handball,Baseball
Asiad is regulated by_________.,International Olympic Council,International Olympic Council,Commonwealth Games Federation, Indian Olympic Council,Olympic Council of Asia
Which is the national sport of Japan?,Judo,Chess,Baseball,Judo,Football
Which is the national sport of Spain?,Bullfighting,Bullfighting,Judo,Rugby Football,Lecross
Donald Bradman was a great player of which sport?,Cricket,Football,Tennis,Cricket,none of these
Cricketer Matthew Hayden is a player of which country?,Australia,Nepal,Sri Lanka,Australia,India
In which year did India become the champion of world cup cricket for the first time?,6/5/1905,1981,1982,1983,1986
Who is the first cricketer to be awarded the Rajiv Gandhi Khel Ratna Award?,Sachin Tendulkar,Ishant Sharma,Sachin Tendulkar,Rahul Dravid,Harbhajan Singh
What is the surname of Rahul Dravid?,Mr. Relybull,Dravidian,Mr. Relybull,Rahul,Mr. Rajesh
'Ice Hockey' is the national sport of which country?,Canada,Denmark,Sweden,Scotland,Canada
Who started the practice of the polo game in India?,Turk,Portuguese,Unani,English,Turk
Which country is called the 'father of cricket'?,England,India,England,Sri Lanka,none of these
The word 'Checkmate' is associated with which sport?,Chess,Chess,Boxing,Wrestling,Chess
What is the width of the football goal post?,24.66 feet,23.32 feet,24.66 feet,24.90 feet,25.21 feet
What is the maximum permissible length of a bat in cricket?,38 inches, 32 inches,36 inches,38 inches,41 inches
What is the length of the cricket pitch?,20.12 m,20.12 m,20.19 m,20.30 m,20.50 m
Which is the national sport of India?,Hockey,Kabaddi,Chess,Hockey,Cricket
Which is the national sport of Scotland?,Rugby Football,Baseball, Ice Hockey,Football,Rugby Football
In which sport is the word 'Beamer' used?,Cricket,Football,Tennis,Chess,Cricket
Mithali Raj is a famous player in which sport?,Cricket,Football,Cricket,Chess,Hockey
Which is the national sport of Canada?,Ice Hockey,Baseball,Volleyball,Ice Hockey,Rugby Football
Who is the third bowler in the world to take 600 wickets in Test cricket?,Anil Kumble,Anil Kumble,Jasprit Bumrah,Javagal Srinath,Ishant Sharma
Muttiah Muralitharan is a famous cricketer of which country?,Sri Lanka,Afghanistan,New Zealand,Pakistan,Sri Lanka
Bullfighting is the national sport of which country?,Spain,Japan,Spain,Scotland,Canada
Which is called the National Recreational Game of America?,Baseball,Handball,Basketball,Baseball,Volleyball
In which state of India did the game of polo become prevalent?,Manipur,Assam,Mizoram,HP,Manipur
What is the weight of the ball used in cricket?,155 grams 168 grams,154 grams 168 grams,150 grams 168 grams,155 grams 168 grams,none of these
How many squares or squares are there in the game of chess?,3/4/1900,64,65,66,67
When is National Sports Day celebrated?,8/29/2024,12-Aug,29-Aug,20-Aug,27-Aug
What is the height of the stump from the ground in cricket?,28 inches,27 inches,28 inches,29 inches, 30 inches
In which country 'Sharjah' is the famous venue of the cricket games?,United Arab Emirates,India,United Arab Emirates,Sri Lanka,Australia
Which cricket umpire is popularly known as 'Great Delay'?,Dicky Bird,Dicky Bird,Delay,Great,none of these
Which first Indian player scored a triple century in Test cricket?, Virender Sehwag,Sourav Ganguly, Virender Sehwag,Sachin Tendulkar,none of these
Which magazine is called 'Bible of Cricket'?,Wisden,Pakhi,Wisden,Fairytale,none of these
Who won the first Olympic medal individually for independent India?,K D Jadhav,K D Jadhav,Milkha Singh,Harishchandra Brijdar,Dhyan Chand
Name the first Indian to win a Grand Slam Kithab.,Mahesh Bhupathi,Leander Paes,Ramesh Krishnan,Ramanathan Krishnan,Mahesh Bhupathi
Which award has been named Major Dhyan Chand Khel Ratna Award?,Rajiv Gandhi Khel Ratna Award,Indira Gandhi Khel Ratna Award,Rajiv Gandhi Khel Ratna Award,Jawaharlal Nehru Khel Ratna Award,Sanjay Gandhi Khel Ratna Award
On which day was the Olympic Day celebrated?,6/23/2024, 21 June,22-Jun,23-Jun,24-Jun
The mascot of the Tokyo Olympics is-,Miraitowa,Panda,Suminski,Miraitowa,Eagle
Which one of the following is not correctly matched? ,Avani Lekhara - Weightlifting,Arjun Lal Jat - Rowing,Devendra Jhajharia - Javelin throw,Avani Lekhara - Weightlifting,Apurvi Chandela - Shooting
"The writer of the book ""Stargazing : The Players in My Life"" is -",Ravi Shastri,Sunil Gavaskar,Virat Kohli,Sachin Tendulkar,Ravi Shastri
  Who is the first Indian to win two Olympic Medals?,Sushil kumar, P.V. Sindhu,Sushil kumar,MC Mary Kom, Mirabai Chanu
Which of the following equipment is required in Kho-Kho game?,all of them,Post,code,"measuring tape, stop watch",all of them
whom with is Salim Durrani related?,Cricket,Cricket,Polo,Archery,Hockey
Brijmohan Birla Memorial Cup is related to which sport?,Polo,Cricket,Basketball,Polo,Women's Hockey
Where is the famous Sawai Jai Singh Stadium for cricket located?,Jaipur,Ajmer,Bharatpur,Jodhpur,Jaipur
Saina Nehwal is associated with which sport?,Badminton,Tennis,Cricket,Badminton,Gymnastics
Which Indian cricketer is Nicknamed Tiger?,Pataudi,Dhoni,Pataudi,Kapil Dev,Sunil Gavaskar
Which is Canada’s National Winter Sport?,Ice Hockey,Ice Hockey,Rugby,Lacrrose,Hockey
Which football player has won the FIFA World Player Award (FIFA Ballon d’or) for four years in a row?,Lionel Mesai,Andres Iniesta,Christiane Ronaldo,Lionel Mesai,Michel Platini
"The men’s title of the 2018 Australian Open Tennis Championship,_____ was won by.",Roger Federer,Rafael Nadal,Roger Federer,Stan Warwinka,Andy Murray
_____________ is the national sport of Turkey,Wrestling,Wrestling,Rugby union,Golf,Basketball
When was the Commonwealth game started?,4/13/1905,1930,1934,1938,1950
Which was the host country in 1998 for Asian Games?,Thailand,Thailand,Philippines,South Korea,China
Which city has hosted Asian Games in 2006?,Doha,Doha,Bangkok,New Delhi,Tokyo
In which country commonwealth games were held in 2010?,India,India,Canada,Malaysia,Australia
Which city hosted commonwealth games in 1966?,Kingston,Kingston,Perth,Melbourne,Kuala Lumpur
___________ has won Cricket world cup for the maximum number of times.,Australia,Australia,India,West Indies,Sri Lanka
Football World Cup has been won by which country for the maximum number of times?,Brazil,Italy,Uruguay,West Germany,Brazil
Which country has hosted Commonwealth Games for the maximum number of times?,Canada,Canada,New Zealand,England,Scotland
In which year Asian Games were started?,5/4/1905,1951,1954,1958,1962
First Olympic Games was held in ________,Canada,Canada,England,Australia,Jamacia
Caddie is related to __________,Golf,Golf,Baseball,Billiards,Bridge
Which country had started Football World?,Uruguay,Uruguay,Italy,West Germany,Brazil
 In which year Cricket world cup was first hosted by West Indies?,5/28/1905,1975,1979,1983,1976
Bandy is national sport of which country?,Russia,Russia,Peru,Latvia,Lithuania
 Asian Games have been hosted by _________for maximum number of times.,Thailand,Thailand,Japan,India,China
In which year Olympic Games were cancelled because of World War I?,3/30/1905,1916,1912,1920,1944
Which term is commonly used in Badminton and Volleyball?,Deuce,Deuce,Dribble,Double,Dummy
 ___________ is used in Boxing.,Upper Cut,Upper Cut,Mallet,Bunder Chuckker,Deuce
If we are using the following words in a game. Which game are we playing?,Billiards,Billiards,Bridge,Polo,Baseball
 Who was the winner of Football World Cup in 2010?,Spain,Spain,Italy,Brazil,France
Olympic Games were first started by which country and in which year?, Greece (1896), Greece (1896),France (1924),Greece (1890),France (1894)
How many nations participated in 2012 Olympic Games?,7/22/1900,204,197,199,121
In __________ Olympic Games were held in Spain.,6/14/1905,1992,1948,1968,1980
 Which city of United States hosted Olympic Games in 1996?,Atlanta,Atlanta,St. Louis,Los Angeles,None of the above
In 2012 which country hosted Olympic Games?,United Kingdom,United Kingdom,China,Greece,Australia
First Olympic Games was held in ________,Canada,Canada,England,Australia,Jamacia
Which is the national sport of Canada?, Lacrosse/Ice hockey, Lacrosse/Ice hockey,Cricket,Field hockey,Volleyball
 Archery is the national sport of which country?,Bhutan, Afghanistan,Bhutan,Japan,India
 _____________ has Cricket as its national sports.,Jamaica,. India,Jamaica,Sri Lanka,United States
 _____________ is the national sport of Turkey,Wrestling,Wrestling,Rugby union,Golf,Basketball
 When was the Commonwealth game started?,4/13/1905,1930,. 1934, 1938, 1950
Which was the host country in 1998 for Asian Games?, Thailand, Thailand,. Philippines,South Korea, China
Which city has hosted Asian Games in 2006?,Doha,Doha,Bangkok, New Delhi, Tokyo
In which country commonwealth games were held in 2010?,. India,. India,Canada, Malaysia, Australia
Which city hosted commonwealth games in 1966?,Kingston,Kingston,Perth,Melbourne,Kuala Lumpur
 ____________ has won Cricket world cup for the maximum number of times.,Australia,Australia,India,West Indies,Sri Lanka
Football World Cup has been won by which country for the maximum number of times?,Brazil, Italy,Uruguay, West Germany,Brazil
SMTP in networking meant for ,Simple Mail Transfer Proto­col,Simple Mail Transfer Proto­col,Simple Message Transfer Protocol,Simple Mail Transport protocol,System Mail Transport Protocol
Which of the following is not a measuring unit of the processing speed of computers?,MOFS,MHz,MIPS,MOFS,MFLOPS
Which of the following file formats is not a video file format?,MP3,MP3,MP4,MOV,AVI
What is the full form of GPT in Chat GPT?,Generative Pre-Trained Transformer,GUID Partition Table,Grooved Pegboard Test,Generative Pre-Trained Transformer,Glutamic Pyruvic Trans­aminase
Select the correct answer using the codes given below.,All of the above," Only 1, 2 and 3",Only 3 and 4,Only 1 and 2,All of the above
A computer system includes -,All of the above,Hardware,Software,Peripheral devices,All of the above
IC chips used in computers are made with -,Silicon,Gold,Silicon,Copper,Silver
What is the speed of the computer measured it?,Gigahertz,Nanoseconds,Kilo seconds,Gigahertz,Megabytes
"In the context of the Internet, what is the full form of a URL?",Uniform Resource Locator,User Requested Link,Ultimate Response Location,Unique Request Locator,Uniform Resource Locator
Which of the following is not an example of a Virtual Assistant?,Cortesa,Alexa,Cortana,Siri,Cortesa
The feature(s) of cyber security is /are -,All of the above,Compliance,Defence against internal threats,Threat prevention,All of the above
Which of the following is not a browser?,Android,Android,Firefox,Chrome,Safari
" In the communication model, the process of putting the ideas into a message is known as -",Encoding,Decoding,Encoding,Persuasion,Interference
Which type of problem was used by Kohler in problem-solving?,Detour problems,Verbal material,Detour problems,Puzzle box,None of the above
Which one of the following is not a type of informal communication network?,Circular,Cluster,Probability,Gossip,Circular
Blind and not blind is an example of -,Qualitative data,Qualitative data,Quantitative data,Both (A) and (B),None of the above
Functional fixedness produces ...................... in the problem-solving process.,Blocking,Partial facilitation,Blocking,No effect,Facilitation
Which one of the following is not used by the people as a method of problem-solving?,Functional Fixedness,Trial and Error,Functional Fixedness,Algorithms,Heuristics
Which one of the following methods of problem-solving gives a guarantee of success?,Algorithms method,Heuristics method,Planning method,Algorithms method,Backward method
Algorithm is a type of -,Mechanical solution,Rule of thumb,Mechanical solution,Means-end analysis,Heuristics
'MODEM' is used for -,Both A/D and D/A conversions,A/D conversion only,D/ A conversion only,Both A/D and D/A conversions,None of the above
"In an ER diagram, an ellipse represents -",Attributes,Relation,Attributes,fields,Key
Hard copies can be obtained from -,Printer,Scanner,Speaker,Printer,Recorder
What is the binary number equivalent of the decimal number 32.25 ?,10/14/2173,100010.1,100000.1,100010.01,100000.01
What is (1111)2 + (1001)2 - (1010)2 equal to?,(1110)2,(111)2,(1100)2,(1110)2,(1010)2
'Bing' is a web search engine owned and operated by -,Microsoft,Meta,Alphabets,Microsoft,Amazon
"In MS-DOS, the command is used to clear the screen is -",Cls,Wipe,Cls,Clear,Clear Screen
"Related to computers, what is meant by software?",computer programs,floppy discs,computer programs,computer circuitry,human brain
To find the user's Password for hacking purposes refers to -,Sniffing,Sniffing,Spoofing,Cyber Stalking,Spamming
Which is the largest unit of storage among the following?,Terabyte,Terabyte,Megabyte,Byte,Gigabyte
"A ___ is a computer, appliance, or router that sits between trusted and untrusted systems.",firewall,hub,switch,firewall,bridge
Which of the following units is used to measure the speed of a computer?,MIPS,BAUD,MIPS,SYPS,Byte
Which of the following is an extension of a temporary file?,.tmp,.tnt,.txt,.tmp,.tar
DHCP is mainly used in -,Providing IP address automatically to the devices,Routing,Converting IP address to domain name,Providing IP address automatically to the devices,Multicasting
Virtual Keyboards protect the computer against -,All of the above,Password theft,Trojan programs,Spyware,All of the above
An e-mail that appears to originate from one source but actually has been sent from another -,Spoofing,Phishing,Spoofing,Spamming,Sniffing
"In a network environment, which is not a server?", Network Server, File Server,Print Server,Application Server, Network Server
.............................. is not a common network topology.,Grid,Bus,Star,Ring,Grid
 ........................ is used to transfer data packets between two computer networks.,Router,Switch,Router,Brouter,Gateway
A database that contains the names and addresses of various hosts on the internet is called -, Domain Name System, Domain Name Service, Domain Name System,DNS File System,None of the above
 _____________________ is unwanted e-mail or junk mail.,Spam,Bomb,phatBot,Spam,Worm
The process of eliminating logical errors is known as -,debugging,testing,debugging,Maintenance,evaluation
______ programs are used to create numeric-based documents such as budgets ., Spread sheet,Word processing,Presentation, Spread sheet,Graphics
 What is Ethernet?, A protocol used by many wired LAN's, A protocol used by many wired LAN's,A protocol used for address translation,A security protocol,A collision detection protocol
What is the World Wide Web (www)?,Collection of webpages stored on websites,Collection of webpages stored on websites,Interconnected networks,Hypertext processor,Web browser
Which one of the following is not a search engine?,Chrome,Google,Chrome,Yahoo,Bing
What is PHP in programming?,General purpose programming language,General purpose programming language, Central processing unit,Central processing union,None of the above
Which of these is the smallest possible unit of data?,Bit,Bit,Byte,Kilobyte,Megabyte
Which is one of the following is not an output device?,Keyboard,Keyboard,Visual Display Units,Printer,Plotter
Which web browser was developed by Google?,Chrome,Internet Explorer,Firefox,Safari,Chrome
"On the web, the base unit for every website or document which contains information is a -",No,weblog,webpage,webserver,webmail
........................... bus joins only CPU with RAM which contains memory addresses in it.,Address,Accelerated Graphic Port (AGP),Peripheral Component Interconnect (PCI),Address,Data
The backspace key omits the ............... side letters of the cursor.,left-hand,above/overhead,right-hand,down,left-hand
The generic word ............... is related to some piece of the hardware.,device,program,direction,device,data
.................... software is for making text-related documents like newsletters or brochures.,Desktop Publishing,Spreadsheet,Database Management System,Desktop Publishing,Presentation Program
With .............. and ................. keys you can move the cursor to the beginning or end of a line.,"Home, End","Home, Insert","Home, End","End, Delete","Escape, Home"
How many Bits are there in a nibble?,1/3/1900,16,32,4,8
Blowfish is a type of -,Digital Signature Algorithm, Symmetric Encryption Algorithm, Hashing Algorithm,Digital Signature Algorithm,Asymmetric Encryption Algorithm
What does XML stand for?,Example Markup Language,Example Markup Language,Extensible Markup Language,X Markup Language,Extra Modern Link
Which is not a type of secondary memory?,Random Access Memory (RAM),Solid State Drive,Hard Disk,Random Access Memory (RAM),USB Pen Drive
IPv6 protocol defines an IP address of -,128 bit,32 bit, 64 bit,128 bit, 256 bit
 A social network can be represented as -,Graph,Graph,Tree,Star,Ring
Who among the following is known as the father of computing?,Charles Babbage,Charles Babbage,Tim Berners Lee,Philip Don Estridge,James Gosling
Which of the following keyboard shortcuts displays the start menu in the Windows operating system?,Ctrl + Esc,Ctrl + Z,Alt + Spacebar,Ctrl + Esc,Alt + Enter
A system program designed to aid the programmer in finding and correcting errors or bugs is known as -,Debugger,Evaluator,Debugger,Quarantiner,Corrector
Microsoft Excel is a -, Electronic Spreadsheet,MS office package, Electronic Spreadsheet,Graphic package,Financial planning package
Which memory is both static and non-volatile ?,ROM,CACHE,ROM,BIOS,RAM
Which table is an operating system that contains information about all the open files?,No, open table,open-location table,open-seek table, open-file table
The two ways to arrange multiple windows on the desktop are -,cascade and tile,cascade and tile,drag and drop,point and click,minimize and maximize
Which of the following is a programming language for creating special programs like applets?,Java,Java,cable,domain name,Net
Which of the following is true about Assembly Language?,It is a low-level programming language,It is an object oriented programming language,It is a high-level programming language,It is a low-level programming language, It is a language for assembling computers
ER Diagram in DBMS is a graphical method used to represent -,Entity class and their relationships, Primary key and candidate key,Entity class and their relationships,Objects and methods with functions,Entity class and relationship to foreign key only
The set of instructions which tell a computer what to do is called -,Program,Matter,Instructor,Compiler,Program
 What is the other name for addictive manufacturing?,3-D printing,3-D printing,2-D printing,CPU assembly,Memory management
Which of the following is not an in-built software application found in MS Windows?,CD Player,Paint,CD Player,Disk Defragmenter,Volume Control
  Which of the following is the first calculating device?,Abacus,Abacus,Calculator,Turing Machine,Pascaline
Who invented mechanical calculator called Pascaline?,Blaise Pascal,Charles Babbage,Blaise Pascal,Alan Turing,Lee De Forest
Who among the following considered as the 'father of artificial intelligence'?,John McCarthy,Charles Babbage,Lee De Forest,John McCarthy,JP Eckert
 Which was the world's first successful electronic computer?,ENIAC electronic Numerical Integrator and computer,PARAM,CRAY-1,Pascaline,ENIAC electronic Numerical Integrator and computer
Who among the following used the term computer worm for the first time?,John Brunner,John Brunner,Alan Turing,John McCarthy,JP Eckert
"Which was first virus detected on ARPANET, the forerunner of the internet in the early 1970s?",Creeper Virus,Exe Flie,Creeper Virus,Peeper Virus,Trozen horse
Select the example of application software of computer:,Both A and B,Ms Word, Ms Excel,Both A and B,MS-DOS
Which of the following is also called translator?, Language Processor,Data representation,MS-DOS,Operating System, Language Processor
How the quality of printer is measured?,Dots per Inch,Alphabet per strike,Words per Inch,Strike per Inch,Dots per Inch
what is the default chart type in Microsoft excel?,column chart,pie chart,line chart,surface chart,column chart
Which computer virus records every movement you make on the computer?,Key Logger,Malware Android,DoS,Key Logger,Trapper
Mail merge is a component of which of the following?,MS Word,MS Word,MS Excel,Word Press, MS Access
Which keys are used to switch between programs in windows?,Alt+TAB,Ctrl+TAB,Alt+TAB,Shift+TAB,Shift+Enter
Laser printer resolution is specified in terms of:,DPI,DPI,LPM,CPM,LSI
What is the mascot of the Linux operating system?,Penguin,Bear,Penguin,Lion,whale
3 A nibble is equal to bits.,1/3/1900,4,8,16,32
The instruction about booting your system is stored in:,BIOS,RAM,CPU,BIOS,Register
Data that is copied from an application is stored in the ...... ,clipboard,Driver,terminal,prompt,clipboard
What is called the syntax analysis part in the machine language transformation of a high-level language?,parsing,lexical analysis,semantic analysis,parsing,linking
which of the following is an example of a volatile memory. ,RAM,cd-rom,RAM,Rome,hard disk
Which symbol is used to separate the username of an email address from that of an ISP?,@,@,&,$, #
what is the key combination to open the 'Save As' dialog box in MS PowerPoint? ,F12.,F12.,Alt+F then D,Alt+F then E, Alt+F then O
By using which tab can you add page numbers in an MS-Word 2019 document? ,insert,edit,format,insert,Home
"In terms of Computer Networks, what does VPN stands for: ", virtual Private Network,vertical personal network,Verbal Private News,virtual private news, virtual Private Network
" The CPU, motherboard and RAM are ........ components of a computer hardware system. ",internal,input device,secondary storage device,output device,internal
 In which printer ribbon is used? ,dot matrix printer,plotter,laser printer,dot matrix printer,inkjet printer
When is the World Computer Literacy Day observed every year? ,12/2/2024,8-Sep,11-Sep,3-Nov,2-Dec
Which cobble is used to send modulated light?,fiber,Category 3 UTP,Category 5 UTP,fiber,coax
Which device is designed to send packets using package addresses?,switching hub,Specialty Hub,switching hub,Port Hub,filtering hub
Computer language FORTRAN is useful in which field?,Science,business,Drawing,Science,Commerce
Which is the fastest printer?,Laser Printer,Laser Printer,Jet printer,Thermal Printer,Daisy wheel printer
 What is Oracle?,Database software,an operating system,word processor software,Database software,none of these
What is the computer language COBOL useful for?, Professional work, Professional work,Graphic work,Scientific work,none of these
"Which language is called 'foundation stone' for teaching languages like FORTRAN, ALGOL, PASCAL etc.?",BASIC,BASIC,COBOL,FORTRAN,none of these
" While using a database management system, the first thing you have to do is _______.",Load the software into your computer,Create a database file,Activate file editor,Load the software into your computer,Keep a floppy disk in readiness
Which command is used to remove a table from the database in SQL?,DROP TABLE,DELETE TABLE,DROP TABLE, ERASE TABLE,UNATTACH TABLE
What is the key combination to move down one paragraph in MS PowerPoint? , ctrl+down arrow,down arrow,shift+down arrow, ctrl+down arrow,Alt+Down Arrow
Which is the part of the computer system that one can physically touch?,hardware,data,operating systems,hardware,software
"A ………. is an electronic device that process data, converting it into information.",computer ,computer ,processor,case,stylus
IC chips used in computers are usually made of:,Silicon,Lead,Silicon,Chromium,Gold
Which of the following is not an example of an Operating System?,Microsoft Office XP,Windows 98,BSD Unix,Microsoft Office XP,Red Hat Linux
One Gigabyte is approximately equal is:,"1000,000,000 bytes","1000,000 bytes","1000,000,000 bytes","1000,000,000,000 bytes",None of these
" Compact discs, (according to the original CD specifications) hold how many minutes of music?",74 mins,74 mins,90 mins,56 mins,60 mins
 Which of the following is not an input device?,VDU,Mouse,Light pen,Keyboard,VDU
What type of process creates a smaller file that is faster to transfer over the internet?,Compression,Compression,Fragmentation,Encapsulation,None of the above
 Which of the following is used to Manage DataBase?,DBMS, Operating System,Compiler,DBMS,None of the above
Which of the following is an example of non-volatile memory?,ROM,Cache memory,RAM,ROM,None of the above
File extensions are used in order to ……….,Identify the file type,Name the file,Ensure the filename is not lost,Identify the file,Identify the file type
here are …………. parts to a computer system.,1/3/1900,2,4,16,100
"During the ………… portion of the Information Processing Cycle, the computer acquires data from some source.",input   ,processing ,storage,input   ,output
bit stands for,binary digit,binary information term    ,binary digit,binary tree, Bivariate Theory
Which one of the following is different from other members?,Google,Google,Windows,Linux,Mac
The hexadecimal number system consists of the symbols,"0 – 9 , A – F",0 – 7 ,"0 – 9 , A – F","0 – 7, A – F",None of these
1 GB is equal to,230 bytes,230 bits   ,230 bytes, 220 bits,220 bytes
"A microprocessor unit, a memory unit, and an input/output unit form a:", microcomputer,CPU,compiler, microcomputer,ALU
Process to exit from computer by giving correct instructions such as 'EXIT' is classified as,log out,log in, process out,process in,log out
Function of running and loading programs by use of peripherals is function of,operating system,operating system,inquiry system,dump programs,function system
.An assembler is,Machine dependant.,Programming language-dependent.,Syntax dependant.,Machine dependant.,Data dependant.
Which amongst the following is not an advantage of Distributed systems?,Reliability,Reliability,Incremental growth,Resource sharing, None of the above
How many buses are connected as part of the 8085 microprocessor?,1/2/1900,2,3,5,8
How many bits are used in the data bus?,1/15/1900,7,8,9,16
"What would you do to highlight a word? You position the cursor next to the word, and then",Drag mouse while holding button down,Drag mouse while holding button down, Click mouse once,Roll and then click mouse,None of these
 Reusable optical storage will typically have the acronym ………,RW,CD ,DVD,ROM,RW
………. is processed by the computer into information.,Data             ,Data             ,Numbers,Alphabets   ,Pictures
One kilobyte is equal to:,1024 bytes,1000 bytes, 100 bytes,1024 bytes,1023 bytes
Which supercomputer is developed by the Indian Scientists?,Param,Param,Super 301,Compaq Presario,CRAY YMP
" In binary code, the number 7 is written as -",4/20/1900,110,111,101,100
"In which generation of computers, transistors were used?",Second,First,Second,Third,Fourth
'ALU' stands for?,Arithmetic and Logical Units,Arithmetic Long Unit,All Longer Units,Around Logical Units,Arithmetic and Logical Units
The term 'Pentium' is related to -,Microprocessor,DVD, Hard Disk,Microprocessor,Mouse
 Which of the following is the most powerful type of computer?,Super Computer,Super-micro,Super Computer,Micro Computer,Mini Computer
The most common type of storage devices are ……,magnetic,persistent,optical,magnetic,flash
The ………… tells the computer how to use its components.,operating system    ,utility ,network,operating system    ,motherboard
Which one of the following is not a linear data structure?, Binary Tree,Array, Binary Tree, Queue,Stack
Where does a computer add and compare its data?,CPU ,CPU ,Memory,Hard disk,Floppy disk
Which one of the following is not an Internet Service Provider (ISP)?, Infotech India Ltd.,MTNL,BSNL,ERNET India , Infotech India Ltd.
The binary equivalent of (–15)10 is (2’s complement system is used),11110001   ,11110001   ,11110000,10001111 , None of these
The set of computer programs that manage the hardware/software of a computer is called,Operating system,Compiler system,Operation system,Operating system,None of these
 Program which is readily available for computer users as a part of software package is classified as, library program, library program, program library,software library,directory library
Set of software authorized to a specific user is considered as,program library,software library,program library,directory library, library package
"If program can cope data errors, such program can be termed as", robust, robust,reliable,unreliable,stable functioning
Which of the following is not a fundamental process state,Blocked,Ready, Terminated,Executing,Blocked
Which of the following loader is executed when a system is first turned on or restarted,Bootstrap loader,Bootloader,Compile and Go loader,Bootstrap loader, Relating loader
Storage mapping is done by,Compiler,Linker,Compiler,Loader,Operating system
Forward reference table(FRT) is arranged like -,Linked list,Stack              ,Queue,Linked list,Double linked list
Worldwide web was proposed by:,Tim Berners Lee,Bill Gates,Bill Rogers,Tim Berners Lee,None of Above
Which of the following is not a computer bus?,timer bus,data bus,timer bus,control bus,address bus
The technique of assigning a memory address to each I/O device in the SAM system is called:,memory-mapped I/O,wired I/O,I/O mapping, dedicated I/O,memory-mapped I/O
A port can be:,bidirectional,strictly for input,strictly for output,bidirectional,all the above
SMTP in networking meant for -,Simple Mail Transfer Proto­col,Simple Mail Transfer Proto­col, Simple Message Transfer Protocol,Simple Mail Transport protocol,System Mail Transport Protocol
 Which of the following is not a measuring unit of the processing speed of computers?,MOFS,MHz,MIPS,MOFS,MFLOPS
Which of the following file formats is not a video file format?,MP3,MP3,MP4,MOV,AVI
What is the full form of GPT in Chat GPT?,Generative Pre-Trained Transformer,GUID Partition Table,Grooved Pegboard Test,Generative Pre-Trained Transformer,Glutamic Pyruvic Trans­aminase
Which of the following are com­puter languages?,Java, Cobol,Python,Rust,Java
A computer system includes -,All of the above,Hardware,Software, Peripheral devices,All of the above
IC chips used in computers are made with -,Silicon,Gold,Silicon,Copper,Silver
What is the speed of the computer measured it?,Gigahertz,Nanoseconds,Kilo seconds,Gigahertz,Megabytes
"In the context of the Internet, what is the full form of a URL?",Uniform Resource Locator,User Requested Link,Ultimate Response Location, Unique Request Locator,Uniform Resource Locator
Which of the following is not an example of a Virtual Assistant?,Cortesa,Alexa,Cortana,Siri,Cortesa
The feature(s) of cyber security is /are -,All of the above,Compliance, Defence against internal threats, Threat prevention,All of the above
 Which of the following is not a browser?,Android,Android,Firefox,Chrome,Safari
"In the communication model, the process of putting the ideas into a message is known as -",Encoding,Decoding,Encoding,Persuasion,Interference
Which type of problem was used by Kohler in problem-solving?,Detour problems,Verbal material,Detour problems,Puzzle box,None of the above
 Which one of the following is not a type of informal communication network?,Circular,Cluster,Probability,Gossip,Circular
Blind and not blind is an example of -,Qualitative data,Qualitative data,Quantitative data,Both (A) and (B),None of the above
Functional fixedness produces ...................... in the problem-solving process.,Blocking,Partial facilitation,Blocking,No effect,Facilitation
Which one of the following is not used by the people as a method of problem-solving?,Functional Fixedness,Trial and Error,Functional Fixedness,Algorithms,Heuristics
Which one of the following methods of problem-solving gives a guarantee of success?,Algorithms method,Heuristics method,Planning method,Algorithms method,Backward method
Algorithm is a type of ,Mechanical solution,Rule of thumb,Mechanical solution,Means-end analysis,Heuristics
'MODEM' is used for -,Both A/D and D/A conversions,A/D conversion only,D/ A conversion only,Both A/D and D/A conversions,None of the above
"In an ER diagram, an ellipse represents -",Attributes,Relation,Attributes,fields,Key
